"Geography","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Sylvan Lake (CA), Alberta","8,236","8,756","9,273","9,815","10,502","11,209","11,721","12,156","12,565","12,947","13,316","14,029","14,692","15,181","15,655","15,791","15,648","15,752","15,863","15,990"
"Lacombe (CA), Alberta","9,620","9,843","10,060","10,296","10,646","11,106","11,391","11,604","11,881","11,940","12,124","12,579","12,920","13,227","13,368","13,350","13,241","13,254","13,274","13,364"
"Camrose (CA), Alberta","15,304","15,517","15,700","15,783","15,942","16,171","16,705","17,057","17,428","17,648","17,857","18,176","18,409","18,859","19,155","19,191","19,082","19,115","19,014","18,980"
"Cold Lake (CA), Alberta","11,866","11,967","12,092","12,149","12,327","12,515","12,936","13,387","13,777","14,146","14,494","14,796","15,123","15,410","15,352","15,488","15,048","14,841","14,517","14,397"
"Grande Prairie (CA), Alberta","38,786","40,617","42,211","44,184","46,884","50,038","52,372","54,019","55,499","56,583","58,273","60,548","62,342","64,246","65,513","65,044","65,298","67,403","68,295","69,025"
"Wood Buffalo (CA), Alberta","43,832","46,651","49,162","51,160","52,623","55,034","58,974","61,635","64,403","67,280","70,642","74,259","78,260","80,468","79,016","75,302","73,493","74,408","75,376","76,263"
"Wetaskiwin (CA), Alberta","11,412","11,550","11,638","11,734","11,927","12,056","12,252","12,422","12,598","12,722","12,897","13,095","13,173","13,161","12,880","12,994","13,122","13,146","13,089","12,977"
"Cranbrook (CA), British Columbia","25,277","25,109","24,935","24,750","24,659","24,762","25,080","25,369","25,522","25,502","25,461","25,698","25,984","26,327","26,768","27,073","27,306","27,550","27,871","27,938"
"Nelson (CA), British Columbia","17,488","17,260","17,120","17,086","17,083","17,187","17,473","17,773","17,992","18,175","18,310","18,339","18,502","18,614","18,882","19,122","19,209","19,412","19,592","19,709"
"Penticton (CA), British Columbia","41,330","41,559","41,772","42,134","42,285","42,251","42,607","42,967","42,913","42,855","42,926","43,220","43,552","43,910","44,343","45,017","45,540","46,020","46,486","46,885"
"Vernon (CA), British Columbia","53,761","54,112","54,753","55,467","56,463","56,837","57,637","58,582","59,157","59,430","59,477","60,128","60,484","61,479","62,421","63,615","64,510","65,032","65,869","66,966"
"Salmon Arm (CA), British Columbia","16,021","16,054","16,162","16,223","16,409","16,623","17,061","17,417","17,628","17,843","17,912","17,815","17,840","17,921","18,273","18,526","18,872","19,078","19,343","19,699"
"Kamloops (CA), British Columbia","92,786","92,547","92,843","93,501","94,358","95,606","97,468","99,272","100,129","100,586","100,830","102,073","103,413","104,711","106,093","108,213","110,509","114,055","115,675","116,896"
"Chilliwack (CA), British Columbia","79,828","81,125","82,581","84,521","86,150","86,854","88,694","90,753","92,548","94,398","95,862","97,595","98,991","100,626","102,876","106,006","108,962","112,437","114,555","116,626"
"Squamish (CA), British Columbia","15,022","15,297","15,546","15,796","15,886","15,781","16,102","16,629","17,052","17,487","17,980","18,410","18,956","19,594","20,212","20,910","21,528","22,126","22,778","23,335"
"Duncan (CA), British Columbia","40,483","40,593","41,057","41,621","42,091","42,465","42,760","43,246","43,575","43,829","43,917","43,948","44,342","44,839","45,312","46,129","46,961","47,630","48,127","48,495"
"Nanaimo (CA), British Columbia","89,549","90,083","90,914","92,294","93,453","95,019","96,089","97,394","98,184","99,261","99,996","101,238","102,696","104,754","106,959","109,193","111,163","113,540","115,682","117,144"
"Parksville (CA), British Columbia","25,153","25,506","25,917","26,452","26,878","26,942","27,293","27,589","27,728","27,922","27,938","28,121","28,286","28,582","29,088","29,637","30,471","30,576","30,875","31,144"
"Port Alberni (CA), British Columbia","26,401","26,066","26,039","26,004","26,133","25,955","25,877","25,932","25,996","26,003","25,838","25,663","25,513","25,544","25,692","26,045","26,254","26,532","26,821","27,060"
"Courtenay (CA), British Columbia","46,379","46,588","47,234","48,243","49,189","49,788","50,551","51,331","51,596","52,010","52,521","53,054","53,287","53,886","55,007","56,066","57,242","58,376","59,320","60,120"
"Campbell River (CA), British Columbia","34,694","34,480","34,598","34,994","35,364","35,677","36,038","36,407","36,489","36,601","36,726","36,993","37,377","37,854","38,488","39,398","40,163","40,985","41,568","42,166"
"Powell River (CA), British Columbia","17,282","16,993","16,831","16,775","16,812","16,894","17,038","17,093","17,019","16,989","16,882","16,863","16,953","17,045","17,071","17,342","17,460","17,537","17,566","17,628"
"Williams Lake (CA), British Columbia","20,630","20,153","19,772","19,490","19,336","19,327","19,384","19,432","19,209","18,987","18,841","18,858","18,816","19,044","18,992","19,049","19,009","19,211","19,308","19,391"
"Quesnel (CA), British Columbia","25,355","24,664","24,082","23,609","23,284","23,096","23,474","23,827","23,870","23,954","23,969","23,964","23,944","23,857","23,930","24,056","24,149","24,351","24,406","24,486"
"Prince Rupert (CA), British Columbia","15,896","15,376","14,892","14,469","14,097","13,743","13,654","13,658","13,545","13,466","13,308","13,312","13,302","13,291","13,297","13,243","13,328","13,412","13,486","13,606"
"Terrace (CA), British Columbia","17,373","16,900","16,594","16,333","16,075","15,845","15,847","15,974","16,056","15,976","15,873","15,974","16,135","16,343","16,385","16,403","16,404","16,656","16,938","17,267"
"Prince George (CA), British Columbia","88,480","87,021","85,664","85,222","85,414","85,933","86,694","86,682","85,902","85,890","86,230","86,842","87,834","88,534","89,455","90,623","91,993","93,706","94,983","96,015"
"Dawson Creek (CA), British Columbia","11,173","11,165","11,205","11,244","11,282","11,389","11,643","11,712","11,808","11,801","11,891","12,191","12,355","12,565","12,729","12,810","12,998","13,211","13,455","13,509"
"Fort St. John (CA), British Columbia","24,120","24,357","24,709","25,059","25,457","26,195","26,565","26,702","26,879","26,902","27,272","28,315","28,901","29,567","29,890","29,808","29,802","29,985","29,883","29,885"
"Whitehorse (CA), Yukon","22,507","22,677","23,180","23,620","24,000","24,354","24,624","25,119","25,694","26,483","27,230","28,055","28,340","28,973","29,551","30,322","31,248","32,072","32,854","33,480"
"Yellowknife (CA), Northwest Territories","18,150","18,562","19,114","19,429","19,430","19,567","19,678","19,791","19,733","19,828","20,033","20,189","20,232","20,291","20,649","21,009","21,407","21,682","22,011","22,290"
"All areas outside census metropolitan areas and census agglomerations, Canada","5,899,712","5,895,131","5,898,684","5,905,578","5,911,309","5,905,017","5,916,431","5,933,175","5,946,110","5,965,530","5,973,996","5,980,516","5,996,245","6,011,922","6,022,558","6,049,517","6,062,897","6,086,036","6,107,974","6,136,190"
"Area outside census metropolitan areas and census agglomerations, Newfoundland and Labrador","278,751","275,002","272,258","268,952","265,090","259,298","255,425","254,016","254,254","254,059","252,634","251,430","250,084","248,848","247,543","246,713","244,418","241,836","239,241","237,273"
"Area outside census metropolitan areas and census agglomerations, Prince Edward Island","60,426","60,377","60,404","60,461","60,528","60,042","59,647","59,725","59,483","59,574","59,489","59,333","58,887","58,621","58,157","58,481","58,814","59,254","60,339","61,236"
"Area outside census metropolitan areas and census agglomerations, Nova Scotia","342,080","340,468","339,396","338,320","336,672","334,959","332,230","330,433","329,316","328,999","328,134","325,895","323,069","320,993","319,567","320,021","320,287","319,955","319,687","319,972"
"Area outside census metropolitan areas and census agglomerations, New Brunswick","304,616","303,091","301,839","300,468","298,819","295,018","292,754","291,134","289,701","288,620","287,689","287,362","286,052","285,363","284,232","284,530","283,796","283,153","283,670","283,594"
"Area outside census metropolitan areas and census agglomerations, Quebec","1,495,376","1,494,529","1,495,495","1,499,573","1,503,793","1,506,196","1,512,043","1,517,220","1,524,517","1,535,831","1,542,981","1,544,456","1,544,673","1,543,735","1,543,267","1,546,906","1,553,598","1,562,353","1,570,317","1,587,545"
"Area outside census metropolitan areas and census agglomerations, Ontario","1,382,267","1,388,341","1,395,581","1,401,246","1,404,671","1,402,520","1,399,766","1,399,541","1,397,400","1,399,193","1,400,196","1,401,924","1,407,608","1,411,998","1,417,860","1,427,459","1,429,635","1,440,118","1,450,003","1,458,015"
"Area outside census metropolitan areas and census agglomerations, Manitoba","349,973","350,420","351,848","353,810","355,062","354,844","355,394","357,570","359,333","362,405","363,859","366,613","369,563","371,608","374,481","377,747","380,129","382,635","385,804","388,298"
"Area outside census metropolitan areas and census agglomerations, Saskatchewan","404,792","400,494","397,369","394,742","390,259","386,185","388,272","392,608","396,337","399,911","401,795","401,715","402,530","403,249","402,282","402,015","401,399","400,086","398,908","397,445"
"Area outside census metropolitan areas and census agglomerations, Alberta","678,898","682,878","686,114","688,702","696,283","706,023","718,275","725,697","730,628","732,522","733,846","737,350","745,963","753,085","755,418","755,712","755,259","754,926","754,517","753,868"
"Area outside census metropolitan areas and census agglomerations, British Columbia","544,054","539,913","537,811","537,735","537,921","537,589","539,606","541,806","541,084","539,494","537,529","538,128","540,725","546,694","551,536","561,093","566,111","571,737","575,234","578,148"
"Area outside census metropolitan areas and census agglomerations, Yukon","7,651","7,659","7,761","7,835","7,902","7,918","7,930","7,964","8,037","8,113","8,181","8,179","8,181","8,164","8,139","8,225","8,421","8,541","8,623","8,572"
"Area outside census metropolitan areas and census agglomerations, Northwest Territories","22,695","23,137","23,486","23,877","23,970","23,612","23,694","23,569","23,423","23,457","23,471","23,459","23,573","23,593","23,588","23,640","23,484","23,299","23,017","22,871"
"Area outside census metropolitan areas and census agglomerations, Nunavut","28,133","28,822","29,322","29,857","30,339","30,813","31,395","31,892","32,597","33,352","34,192","34,672","35,337","35,971","36,488","36,975","37,546","38,143","38,614","39,353"
