"Geography","2016","2017","2018","2019","2020"
"Sherbrooke, Quebec","162,373","163,834","166,217","168,762","171,158"
"Coaticook, Quebec","18,565","18,504","18,572","18,714","18,860"
"Memphrémagog, Quebec","50,531","51,107","51,624","52,101","53,020"
"Brome-Missisquoi, Quebec","58,567","59,473","60,440","61,605","63,476"
"La Haute-Yamaska, Quebec","88,678","89,598","90,563","91,786","93,102"
"Acton, Quebec","15,623","15,577","15,638","15,721","15,971"
"Drummond, Quebec","103,898","105,219","106,181","107,119","108,288"
"Nicolet-Yamaska, Quebec","23,229","23,557","23,687","23,666","23,827"
"Maskinongé, Quebec","36,427","36,604","36,667","36,820","36,854"
"D'Autray, Quebec","42,368","42,766","43,140","43,445","44,120"
"Pierre-De Saurel, Quebec","51,142","51,044","51,115","51,312","51,833"
"Les Maskoutains, Quebec","87,618","87,903","88,348","88,920","89,783"
"Rouville, Quebec","36,723","37,064","37,248","37,474","37,794"
"Le Haut-Richelieu, Quebec","118,002","118,945","119,649","121,002","122,555"
"La Vallée-du-Richelieu, Quebec","125,116","126,817","128,583","130,847","132,259"
"Longueuil, Quebec","417,816","421,240","426,548","432,409","435,671"
"Marguerite-D'Youville, Quebec","77,967","78,475","79,050","79,948","80,823"
"L'Assomption, Quebec","125,293","125,847","126,578","127,594","128,622"
"Joliette, Quebec","66,729","67,506","68,394","69,281","70,396"
"Matawinie, Quebec","50,632","50,996","51,574","52,207","53,504"
"Montcalm, Quebec","53,072","54,047","55,062","56,079","57,777"
"Les Moulins, Quebec","159,204","161,829","164,210","167,105","169,949"
"Laval, Quebec","425,461","429,753","435,099","439,575","442,648"
"Montréal, Quebec","1,959,014","1,986,067","2,028,244","2,064,991","2,069,849"
"Roussillon, Quebec","182,587","185,253","188,914","192,423","195,016"
"Les Jardins-de-Napierville, Quebec","28,346","29,076","30,127","30,619","30,951"
"Le Haut-Saint-Laurent, Quebec","23,733","23,989","24,092","24,215","24,589"
"Beauharnois-Salaberry, Quebec","64,639","65,347","66,045","66,955","67,902"
"Vaudreuil-Soulanges, Quebec","150,205","152,689","155,581","158,318","161,507"
"Deux-Montagnes, Quebec","100,357","101,654","102,636","103,546","104,472"
"Thérèse-De Blainville, Quebec","158,091","159,474","160,856","162,652","164,556"
"Mirabel, Quebec","51,086","53,052","55,228","57,549","59,633"
"La Rivière-du-Nord, Quebec","129,351","131,584","134,150","136,472","139,058"
"Argenteuil, Quebec","32,477","32,705","32,978","33,207","33,733"
"Les Pays-d'en-Haut, Quebec","42,039","42,652","43,344","43,877","45,380"
"Les Laurentides, Quebec","46,171","46,609","47,226","47,699","48,895"
"Antoine-Labelle, Quebec","35,409","35,479","35,499","35,519","35,865"
"Papineau, Quebec","22,927","22,923","23,069","23,241","23,733"
"Gatineau, Quebec","278,257","280,669","283,827","287,650","290,239"
"Les Collines-de-l'Outaouais, Quebec","49,403","50,044","50,589","51,408","52,616"
"La Vallée-de-la-Gatineau, Quebec","20,527","20,489","20,528","20,547","20,666"
"Pontiac, Quebec","14,271","14,205","14,187","14,158","14,134"
"Témiscamingue, Quebec","16,017","15,909","15,838","15,724","15,792"
"Rouyn-Noranda, Quebec","42,554","42,851","42,965","43,079","43,115"
"Abitibi-Ouest, Quebec","20,584","20,543","20,595","20,579","20,539"
"Abitibi, Quebec","24,708","24,911","24,803","24,722","24,803"
"La Vallée-de-l'Or, Quebec","43,430","43,395","43,406","43,521","43,648"
"La Tuque, Quebec","15,071","15,068","15,086","15,056","15,093"
"Le Domaine-du-Roy, Quebec","31,389","31,268","31,135","31,190","31,156"
"Maria-Chapdelaine, Quebec","24,778","24,629","24,647","24,512","24,518"
"Lac-Saint-Jean-Est, Quebec","52,874","52,931","52,830","52,969","53,107"
"Le Saguenay-et-son-Fjord, Quebec","168,035","168,346","168,776","169,314","170,190"
"La Haute-Côte-Nord, Quebec","10,899","10,734","10,600","10,534","10,482"
"Manicouagan, Quebec","31,055","30,870","30,503","30,329","30,187"
"Sept-Rivières-Caniapiscau, Quebec","39,410","38,988","38,908","38,772","38,803"
"Minganie-Le Golfe-du-Saint-Laurent, Quebec","11,349","11,232","11,149","11,064","11,057"
"Nord-du-Québec, Quebec","44,720","45,086","45,557","45,894","46,178"
"Stormont, Dundas and Glengarry, Ontario","116,458","116,805","117,452","118,256","119,106"
"Prescott and Russell, Ontario","91,760","92,516","93,616","95,179","96,753"
"Ottawa, Ontario","964,341","983,739","1,004,802","1,025,425","1,043,130"
"Leeds and Grenville, Ontario","102,981","103,217","104,028","104,786","105,521"
"Lanark, Ontario","70,434","70,907","71,927","73,164","74,425"
"Frontenac, Ontario","154,890","158,021","161,127","162,852","163,829"
"Lennox and Addington, Ontario","43,960","44,111","44,408","44,902","45,401"
"Hastings, Ontario","140,112","141,738","143,630","145,170","146,989"
"Prince Edward, Ontario","25,249","25,278","25,399","25,589","25,841"
"Northumberland, Ontario","87,625","88,898","89,514","89,868","90,270"
"Peterborough, Ontario","141,708","143,850","146,725","147,376","148,100"
"Kawartha Lakes, Ontario","77,296","78,492","79,532","80,373","81,042"
"Durham, Ontario","665,990","674,872","685,455","698,184","711,426"
"York, Ontario","1,144,859","1,149,236","1,161,386","1,182,525","1,200,262"
"Toronto, Ontario","2,819,399","2,862,662","2,917,916","2,963,468","2,988,408"
"Peel, Ontario","1,432,962","1,462,199","1,496,106","1,533,961","1,563,641"
"Dufferin, Ontario","63,711","65,107","66,557","67,496","68,347"
"Wellington, Ontario","229,753","233,527","237,335","240,552","243,647"
"Halton, Ontario","565,112","572,957","584,025","597,770","610,581"
"Hamilton, Ontario","552,272","559,673","566,144","574,265","581,722"
"Niagara, Ontario","459,262","465,509","472,108","478,201","481,727"
"Haldimand-Norfolk, Ontario","113,974","115,144","118,189","120,049","121,149"
"Brant, Ontario","144,465","146,309","148,102","150,256","152,417"
"Waterloo, Ontario","553,437","564,985","579,197","593,321","605,232"
"Perth, Ontario","78,970","79,896","81,062","82,051","83,260"
"Oxford, Ontario","114,055","116,081","118,374","120,440","122,477"
"Elgin, Ontario","91,382","92,390","93,532","95,005","96,431"
"Chatham-Kent, Ontario","104,771","105,259","105,756","106,033","106,620"
"Essex, Ontario","412,050","415,308","421,687","426,474","430,945"
"Lambton, Ontario","129,364","129,797","131,275","132,269","132,972"
"Middlesex, Ontario","471,332","481,820","493,699","502,775","510,609"
"Huron, Ontario","60,732","61,088","62,066","62,568","62,983"
"Bruce, Ontario","69,953","70,987","72,069","73,170","74,143"
"Grey, Ontario","96,298","97,751","99,096","100,454","102,007"
"Simcoe, Ontario","494,224","506,267","517,212","528,155","538,192"
"Muskoka, Ontario","62,657","63,839","64,928","65,949","66,320"
"Haliburton, Ontario","18,460","18,907","19,130","19,289","19,434"
"Renfrew, Ontario","105,129","105,725","106,180","106,787","107,265"
"Nipissing, Ontario","85,466","86,363","86,601","86,661","86,734"
"Parry Sound, Ontario","43,865","44,127","44,586","44,760","44,769"
"Manitoulin, Ontario","13,547","13,584","13,663","13,785","13,922"
"Sudbury, Ontario","22,155","22,073","22,078","22,141","22,288"
"Greater Sudbury, Ontario","165,988","166,422","168,221","168,705","169,047"
"Timiskaming, Ontario","33,045","33,003","33,003","33,063","33,056"
"Cochrane, Ontario","81,767","81,077","80,519","80,670","80,422"
"Algoma, Ontario","117,586","117,323","117,414","118,098","118,777"
"Thunder Bay, Ontario","150,305","150,722","150,967","151,366","151,419"
"Rainy River, Ontario","20,674","20,639","20,670","20,561","20,400"
"Kenora, Ontario","69,609","69,941","70,229","70,501","70,556"
"Division No. 1, Manitoba","18,504","18,537","18,590","18,691","18,781"
"Division No. 2, Manitoba","77,920","79,508","81,049","82,751","84,384"
"Division No. 3, Manitoba","56,465","57,462","58,410","59,433","60,325"
"Division No. 4, Manitoba","10,201","10,185","10,283","10,364","10,416"
"Division No. 5, Manitoba","13,420","13,361","13,380","13,366","13,311"
"Division No. 6, Manitoba","10,557","10,505","10,498","10,555","10,572"
"Division No. 7, Manitoba","70,893","72,210","72,971","74,010","74,739"
"Division No. 8, Manitoba","13,916","14,118","14,390","14,595","14,651"
"Division No. 9, Manitoba","25,014","25,184","25,308","25,493","25,643"
"Division No. 10, Manitoba","12,269","12,628","13,054","13,393","13,709"
"Division No. 11, Manitoba","729,753","744,607","757,046","767,151","771,026"
"Division No. 12, Manitoba","24,243","24,485","24,761","24,980","25,208"
"Division No. 13, Manitoba","50,150","50,591","50,980","51,854","52,660"
"Division No. 14, Manitoba","19,048","19,212","19,424","19,600","19,807"
"Division No. 15, Manitoba","21,838","21,671","21,647","21,718","21,922"
"Division No. 16, Manitoba","10,044","10,002","9,941","10,002","10,023"
"Division No. 17, Manitoba","22,433","22,289","22,328","22,251","22,234"
"Division No. 18, Manitoba","24,607","24,601","24,859","25,211","25,571"
"Division No. 19, Manitoba","17,020","17,212","17,587","17,819","17,981"
"Division No. 20, Manitoba","9,789","9,846","9,785","9,665","9,546"
"Division No. 21, Manitoba","22,636","22,638","22,472","22,395","22,374"
"Division No. 22, Manitoba","44,018","44,371","44,457","44,520","44,628"
"Division No. 23, Manitoba","9,401","9,567","9,605","9,723","9,752"
"Division No. 1, Saskatchewan","32,726","32,525","32,382","32,204","31,970"
"Division No. 2, Saskatchewan","23,480","23,405","23,362","23,260","23,104"
"Division No. 3, Saskatchewan","12,901","12,938","12,873","12,649","12,424"
"Division No. 4, Saskatchewan","11,167","11,169","11,066","11,012","10,908"
"Division No. 5, Saskatchewan","32,506","32,452","32,368","32,125","31,958"
"Division No. 6, Saskatchewan","272,367","278,240","283,462","288,096","290,442"
"Division No. 7, Saskatchewan","48,558","48,793","48,890","48,565","48,284"
"Division No. 8, Saskatchewan","31,571","31,773","31,836","31,824","31,603"
